book,[ buk ],书
supper,[ sʌpə ],晚餐
minute,[ mai'nju:t ],分钟
plus,[ plʌs ],加上
half,[ hɑ:f ],一半
hour,[ auə ],小时
thirty,[ θə:ti ],三十
forty,[ fɔ:ti ],四十
fifty,[ fifti ],五十
sixty,[ siksti ],六十
second,[ sekənd ],秒
Unit 14 My Day,[ mai ] [ dei ] ,我的一天
get up,[ get ] [ ʌp ],起床
wash,[ wɔʃ ],洗
brush,[ brʌʃ ],刷
teeth,[ ti:θ ],牙齿（复数）
watch,[ wɔtʃ ],看
go to bed,[ gəu ] [ tu: ] [ bed ],上床睡觉
when,[ (h)wen ],什么时候
every day,[ evri ] [ dei ],每天
at,[ æt ],在......（指时间的某一点）
Unit 15 The Days of the Week,[ ðə ] [ deiz ] [ ɔv ] [ ðə ] [ wi:k ] ,一周内的日子
week,[ wi:k ],星期
Monday(Mon),[ mʌndi ],星期一
Tuesday(Tue),[ tju:zdi ],星期二
Wednesday(Wed),[ 'wenzdi ],星期三
Thursday(Thur),[ θə:zdi ],星期四
Friday(Fri),[ fraidi ],星期五
Saturday(Sat),[ sætədi ],星期六
Sunday(Sun),[ sʌndi ],星期日
weekday,[ wi:kdei ],工作日
weekend,[ wi:k'end ],周末
don't,[ dəunt ],不做；=do not
want,[ wɔnt ],想（做某事）
Chinese,[ tʃai'ni:z ],中文
music,[ mju:zik ],音乐
math,[ mʌθ ],数学
art,[ ɑ:t ],美术
on,[ ɔn ],在......（指时间）
Unit 16 Revision,[ ri'viʒən ],复习
year,"[ jə:, jiə ]",年
month,[ mʌnθ ],月
三年级,、,
Unit 1 Myself,[mai'self],我自己
myself,[mai'self],我自己
new,[nju:],新的
name,[neim],名字
class,[klɑ:s],班级
Ms,[miz],女士
Mr.,['mistə(r)],先生
old,[əuld],旧的，......岁的......
school,[sku:l],学校
phone,[fəun],电话
number,['nʌmbə],号码
primary school,"['praiməri ,sku:l]",小学
Unit 2 My Body,[ mai ]['bɔdi],我的身体
body,['bɔdi],身体
head,[hed],头
hair,[hɛə],头发
finger,['fiŋgə],手指
neck,[nek],脖子
feet,[fi:t],脚（复数）
monster,['mɔnstə],妖怪
hurt,[hə:t],受伤
toe,[təu],脚趾
matter,['mætə],事情
bad,[bæd],不好的
feel,[fi:l],感觉
Unit 3 My Food,[ mai ][fu:d],我的食物
food,[fu:d],食物
fridge,[fridʒ],冰箱
beef,[bi:f],牛肉
bread,[bred],面包
sausage,['sɔsidʒ],香肠
meatball,['mi:tbɔ:l],肉丸子
pancake,['pænkeik],煎饼
